   1   1 0.00008547
   2   1 0.00017086
   3   1 0.00025608
   4   1 0.00034105
   5   1 0.00042568
   6   1 0.00050989
   7   1 0.00059360
   8   1 0.00067672
   9   1 0.00075918
  10   1 0.00084088
  11   1 0.00092176
  12   1 0.00100172
  13   1 0.00108070
  14   1 0.00115861
  15   1 0.00123538
  16   1 0.00131092
  17   1 0.00138518
  18   1 0.00145806
  19   1 0.00152951
  20   1 0.00159945
  21   1 0.00166781
  22   1 0.00173452
  23   1 0.00179953
  24   1 0.00186275
  25   1 0.00192414
  26   1 0.00198363
  27   1 0.00204116
  28   1 0.00209668
  29   1 0.00215013
  30   1 0.00220145
  31   1 0.00225060
  32   1 0.00229754
  33   1 0.00234220
  34   1 0.00238455
  35   1 0.00242455
  36   1 0.00246216
  37   1 0.00249734
  38   1 0.00253005
  39   1 0.00256027
  40   1 0.00258795
  41   1 0.00261309
  42   1 0.00263564
  43   1 0.00265560
  44   1 0.00267293
  45   1 0.00268763
  46   1 0.00269967
  47   1 0.00270905
  48   1 0.00271576
  49   1 0.00271978
  50   1 0.00272113
  51   1 0.00271978
  52   1 0.00271575
  53   1 0.00270905
  54   1 0.00269967
  55   1 0.00268762
  56   1 0.00267292
  57   1 0.00265559
  58   1 0.00263563
  59   1 0.00261307
  60   1 0.00258794
  61   1 0.00256024
  62   1 0.00253003
  63   1 0.00249731
  64   1 0.00246214
  65   1 0.00242453
  66   1 0.00238453
  67   1 0.00234217
  68   1 0.00229751
  69   1 0.00225057
  70   1 0.00220142
  71   1 0.00215009
  72   1 0.00209665
  73   1 0.00204113
  74   1 0.00198360
  75   1 0.00192411
  76   1 0.00186272
  77   1 0.00179949
  78   1 0.00173449
  79   1 0.00166778
  80   1 0.00159942
  81   1 0.00152948
  82   1 0.00145804
  83   1 0.00138515
  84   1 0.00131090
  85   1 0.00123535
  86   1 0.00115858
  87   1 0.00108068
  88   1 0.00100170
  89   1 0.00092174
  90   1 0.00084086
  91   1 0.00075916
  92   1 0.00067671
  93   1 0.00059359
  94   1 0.00050988
  95   1 0.00042567
  96   1 0.00034104
  97   1 0.00025608
  98   1 0.00017086
  99   1 0.00008547
   1   2 0.00017103
   2   2 0.00034189
   3   2 0.00051242
   4   2 0.00068244
   5   2 0.00085178
   6   2 0.00102029
   7   2 0.00118779
   8   2 0.00135411
   9   2 0.00151910
  10   2 0.00168259
  11   2 0.00184442
  12   2 0.00200443
  13   2 0.00216247
  14   2 0.00231836
  15   2 0.00247197
  16   2 0.00262314
  17   2 0.00277172
  18   2 0.00291757
  19   2 0.00306054
  20   2 0.00320048
  21   2 0.00333727
  22   2 0.00347076
  23   2 0.00360083
  24   2 0.00372734
  25   2 0.00385018
  26   2 0.00396922
  27   2 0.00408434
  28   2 0.00419543
  29   2 0.00430237
  30   2 0.00440508
  31   2 0.00450343
  32   2 0.00459734
  33   2 0.00468671
  34   2 0.00477146
  35   2 0.00485150
  36   2 0.00492675
  37   2 0.00499714
  38   2 0.00506260
  39   2 0.00512306
  40   2 0.00517846
  41   2 0.00522876
  42   2 0.00527389
  43   2 0.00531382
  44   2 0.00534851
  45   2 0.00537791
  46   2 0.00540201
  47   2 0.00542078
  48   2 0.00543420
  49   2 0.00544225
  50   2 0.00544494
  51   2 0.00544225
  52   2 0.00543419
  53   2 0.00542077
  54   2 0.00540200
  55   2 0.00537789
  56   2 0.00534848
  57   2 0.00531379
  58   2 0.00527386
  59   2 0.00522872
  60   2 0.00517842
  61   2 0.00512302
  62   2 0.00506255
  63   2 0.00499709
  64   2 0.00492670
  65   2 0.00485145
  66   2 0.00477141
  67   2 0.00468666
  68   2 0.00459728
  69   2 0.00450337
  70   2 0.00440501
  71   2 0.00430231
  72   2 0.00419536
  73   2 0.00408427
  74   2 0.00396915
  75   2 0.00385012
  76   2 0.00372728
  77   2 0.00360077
  78   2 0.00347070
  79   2 0.00333720
  80   2 0.00320042
  81   2 0.00306047
  82   2 0.00291751
  83   2 0.00277167
  84   2 0.00262309
  85   2 0.00247192
  86   2 0.00231831
  87   2 0.00216242
  88   2 0.00200439
  89   2 0.00184438
  90   2 0.00168256
  91   2 0.00151907
  92   2 0.00135408
  93   2 0.00118776
  94   2 0.00102027
  95   2 0.00085176
  96   2 0.00068242
  97   2 0.00051241
  98   2 0.00034189
  99   2 0.00017103
   1   3 0.00025676
   2   3 0.00051326
   3   3 0.00076926
   4   3 0.00102450
   5   3 0.00127873
   6   3 0.00153169
   7   3 0.00178315
   8   3 0.00203284
   9   3 0.00228053
  10   3 0.00252597
  11   3 0.00276891
  12   3 0.00300912
  13   3 0.00324637
  14   3 0.00348040
  15   3 0.00371101
  16   3 0.00393795
  17   3 0.00416100
  18   3 0.00437995
