after: itr =   6, myrank =   0, x( 15, 2) =     0.49139E-01, x( 15, 3) =     0.94887E-01
after: itr =   6, myrank =   0, x( 16, 2) =     0.23495E-01, x( 16, 3) =     0.65662E-01
before: itr =  11, myrank =   0, x(  1, 2) =     0.26755E-01, x(  1, 3) =     0.62967E-01
before: itr =  11, myrank =   0, x(  2, 2) =     0.41827E-01, x(  2, 3) =     0.10084E+00
before: itr =  11, myrank =   0, x(  3, 2) =     0.42701E-01, x(  3, 3) =     0.10268E+00
before: itr =  11, myrank =   0, x(  4, 2) =     0.26050E-01, x(  4, 3) =     0.62769E-01
before: itr =  11, myrank =   0, x(  5, 2) =     0.41827E-01, x(  5, 3) =     0.10084E+00
before: itr =  11, myrank =   0, x(  6, 2) =     0.68807E-01, x(  6, 3) =     0.16556E+00
before: itr =  11, myrank =   0, x(  7, 2) =     0.68038E-01, x(  7, 3) =     0.16409E+00
before: itr =  11, myrank =   0, x(  8, 2) =     0.42413E-01, x(  8, 3) =     0.10210E+00
before: itr =  11, myrank =   0, x(  9, 2) =     0.42701E-01, x(  9, 3) =     0.10268E+00
before: itr =  11, myrank =   0, x( 10, 2) =     0.68038E-01, x( 10, 3) =     0.16409E+00
before: itr =  11, myrank =   0, x( 11, 2) =     0.68748E-01, x( 11, 3) =     0.16550E+00
before: itr =  11, myrank =   0, x( 12, 2) =     0.42475E-01, x( 12, 3) =     0.10192E+00
before: itr =  11, myrank =   0, x( 13, 2) =     0.26050E-01, x( 13, 3) =     0.62769E-01
before: itr =  11, myrank =   0, x( 14, 2) =     0.42413E-01, x( 14, 3) =     0.10210E+00
before: itr =  11, myrank =   0, x( 15, 2) =     0.42475E-01, x( 15, 3) =     0.10192E+00
before: itr =  11, myrank =   0, x( 16, 2) =     0.26211E-01, x( 16, 3) =     0.62916E-01
after: itr =  11, myrank =   0, x(  1, 2) =     0.26755E-01, x(  1, 3) =     0.62372E-01
after: itr =  11, myrank =   0, x(  2, 2) =     0.41827E-01, x(  2, 3) =     0.10247E+00
after: itr =  11, myrank =   0, x(  3, 2) =     0.42701E-01, x(  3, 3) =     0.10153E+00
after: itr =  11, myrank =   0, x(  4, 2) =     0.26050E-01, x(  4, 3) =     0.63095E-01
after: itr =  11, myrank =   0, x(  5, 2) =     0.41827E-01, x(  5, 3) =     0.10247E+00
after: itr =  11, myrank =   0, x(  6, 2) =     0.68807E-01, x(  6, 3) =     0.16458E+00
after: itr =  11, myrank =   0, x(  7, 2) =     0.68038E-01, x(  7, 3) =     0.16535E+00
after: itr =  11, myrank =   0, x(  8, 2) =     0.42413E-01, x(  8, 3) =     0.10184E+00
after: itr =  11, myrank =   0, x(  9, 2) =     0.42701E-01, x(  9, 3) =     0.10153E+00
after: itr =  11, myrank =   0, x( 10, 2) =     0.68038E-01, x( 10, 3) =     0.16535E+00
after: itr =  11, myrank =   0, x( 11, 2) =     0.68748E-01, x( 11, 3) =     0.16465E+00
after: itr =  11, myrank =   0, x( 12, 2) =     0.42475E-01, x( 12, 3) =     0.10177E+00
after: itr =  11, myrank =   0, x( 13, 2) =     0.26050E-01, x( 13, 3) =     0.63095E-01
after: itr =  11, myrank =   0, x( 14, 2) =     0.42413E-01, x( 14, 3) =     0.10184E+00
after: itr =  11, myrank =   0, x( 15, 2) =     0.42475E-01, x( 15, 3) =     0.10177E+00
after: itr =  11, myrank =   0, x( 16, 2) =     0.26211E-01, x( 16, 3) =     0.62939E-01
before: itr =  16, myrank =   0, x(  1, 2) =     0.26250E-01, x(  1, 3) =     0.63082E-01
before: itr =  16, myrank =   0, x(  2, 2) =     0.42559E-01, x(  2, 3) =     0.10208E+00
before: itr =  16, myrank =   0, x(  3, 2) =     0.42445E-01, x(  3, 3) =     0.10186E+00
before: itr =  16, myrank =   0, x(  4, 2) =     0.26226E-01, x(  4, 3) =     0.62958E-01
before: itr =  16, myrank =   0, x(  5, 2) =     0.42559E-01, x(  5, 3) =     0.10208E+00
before: itr =  16, myrank =   0, x(  6, 2) =     0.68728E-01, x(  6, 3) =     0.16485E+00
before: itr =  16, myrank =   0, x(  7, 2) =     0.68630E-01, x(  7, 3) =     0.16476E+00
before: itr =  16, myrank =   0, x(  8, 2) =     0.42425E-01, x(  8, 3) =     0.10186E+00
before: itr =  16, myrank =   0, x(  9, 2) =     0.42445E-01, x(  9, 3) =     0.10186E+00
before: itr =  16, myrank =   0, x( 10, 2) =     0.68630E-01, x( 10, 3) =     0.16476E+00
before: itr =  16, myrank =   0, x( 11, 2) =     0.68607E-01, x( 11, 3) =     0.16477E+00
before: itr =  16, myrank =   0, x( 12, 2) =     0.42406E-01, x( 12, 3) =     0.10184E+00
before: itr =  16, myrank =   0, x( 13, 2) =     0.26226E-01, x( 13, 3) =     0.62958E-01
before: itr =  16, myrank =   0, x( 14, 2) =     0.42425E-01, x( 14, 3) =     0.10186E+00
before: itr =  16, myrank =   0, x( 15, 2) =     0.42406E-01, x( 15, 3) =     0.10184E+00
before: itr =  16, myrank =   0, x( 16, 2) =     0.26209E-01, x( 16, 3) =     0.62945E-01
after: itr =  16, myrank =   0, x(  1, 2) =     0.26250E-01, x(  1, 3) =     0.62901E-01
after: itr =  16, myrank =   0, x(  2, 2) =     0.42559E-01, x(  2, 3) =     0.10169E+00
after: itr =  16, myrank =   0, x(  3, 2) =     0.42445E-01, x(  3, 3) =     0.10180E+00
after: itr =  16, myrank =   0, x(  4, 2) =     0.26226E-01, x(  4, 3) =     0.62924E-01
after: itr =  16, myrank =   0, x(  5, 2) =     0.42559E-01, x(  5, 3) =     0.10169E+00
after: itr =  16, myrank =   0, x(  6, 2) =     0.68728E-01, x(  6, 3) =     0.16467E+00
after: itr =  16, myrank =   0, x(  7, 2) =     0.68630E-01, x(  7, 3) =     0.16477E+00
after: itr =  16, myrank =   0, x(  8, 2) =     0.42425E-01, x(  8, 3) =     0.10182E+00
after: itr =  16, myrank =   0, x(  9, 2) =     0.42445E-01, x(  9, 3) =     0.10180E+00
after: itr =  16, myrank =   0, x( 10, 2) =     0.68630E-01, x( 10, 3) =     0.16477E+00
after: itr =  16, myrank =   0, x( 11, 2) =     0.68607E-01, x( 11, 3) =     0.16479E+00
after: itr =  16, myrank =   0, x( 12, 2) =     0.42406E-01, x( 12, 3) =     0.10184E+00
after: itr =  16, myrank =   0, x( 13, 2) =     0.26226E-01, x( 13, 3) =     0.62924E-01
after: itr =  16, myrank =   0, x( 14, 2) =     0.42425E-01, x( 14, 3) =     0.10182E+00
after: itr =  16, myrank =   0, x( 15, 2) =     0.42406E-01, x( 15, 3) =     0.10184E+00
after: itr =  16, myrank =   0, x( 16, 2) =     0.26209E-01, x( 16, 3) =     0.62941E-01
before: itr =  21, myrank =   0, x(  1, 2) =     0.26207E-01, x(  1, 3) =     0.62957E-01
before: itr =  21, myrank =   0, x(  2, 2) =     0.42407E-01, x(  2, 3) =     0.10186E+00
before: itr =  21, myrank =   0, x(  3, 2) =     0.42404E-01, x(  3, 3) =     0.10185E+00
before: itr =  21, myrank =   0, x(  4, 2) =     0.26208E-01, x(  4, 3) =     0.62948E-01
before: itr =  21, myrank =   0, x(  5, 2) =     0.42407E-01, x(  5, 3) =     0.10186E+00
before: itr =  21, myrank =   0, x(  6, 2) =     0.68606E-01, x(  6, 3) =     0.16479E+00
before: itr =  21, myrank =   0, x(  7, 2) =     0.68603E-01, x(  7, 3) =     0.16479E+00
before: itr =  21, myrank =   0, x(  8, 2) =     0.42395E-01, x(  8, 3) =     0.10184E+00
before: itr =  21, myrank =   0, x(  9, 2) =     0.42404E-01, x(  9, 3) =     0.10185E+00
