after: itr =   6, myrank =   1, x(  7, 2) =     0.65749E-01, x(  7, 3) =     0.16740E+00
after: itr =   6, myrank =   1, x(  8, 2) =     0.38686E-01, x(  8, 3) =     0.10654E+00
after: itr =   6, myrank =   1, x(  9, 2) =     0.43524E-01, x(  9, 3) =     0.10207E+00
after: itr =   6, myrank =   1, x( 10, 2) =     0.65749E-01, x( 10, 3) =     0.16740E+00
after: itr =   6, myrank =   1, x( 11, 2) =     0.62701E-01, x( 11, 3) =     0.17270E+00
after: itr =   6, myrank =   1, x( 12, 2) =     0.49139E-01, x( 12, 3) =     0.94887E-01
after: itr =   6, myrank =   1, x( 13, 2) =     0.26637E-01, x( 13, 3) =     0.62288E-01
after: itr =   6, myrank =   1, x( 14, 2) =     0.38686E-01, x( 14, 3) =     0.10654E+00
after: itr =   6, myrank =   1, x( 15, 2) =     0.49139E-01, x( 15, 3) =     0.94887E-01
after: itr =   6, myrank =   1, x( 16, 2) =     0.23495E-01, x( 16, 3) =     0.65662E-01
before: itr =  11, myrank =   1, x(  1, 2) =     0.26217E-01, x(  1, 3) =     0.62372E-01
before: itr =  11, myrank =   1, x(  2, 2) =     0.43326E-01, x(  2, 3) =     0.10247E+00
before: itr =  11, myrank =   1, x(  3, 2) =     0.41627E-01, x(  3, 3) =     0.10153E+00
before: itr =  11, myrank =   1, x(  4, 2) =     0.26386E-01, x(  4, 3) =     0.63095E-01
before: itr =  11, myrank =   1, x(  5, 2) =     0.43326E-01, x(  5, 3) =     0.10247E+00
before: itr =  11, myrank =   1, x(  6, 2) =     0.67910E-01, x(  6, 3) =     0.16458E+00
before: itr =  11, myrank =   1, x(  7, 2) =     0.69312E-01, x(  7, 3) =     0.16535E+00
before: itr =  11, myrank =   1, x(  8, 2) =     0.42145E-01, x(  8, 3) =     0.10184E+00
before: itr =  11, myrank =   1, x(  9, 2) =     0.41627E-01, x(  9, 3) =     0.10153E+00
before: itr =  11, myrank =   1, x( 10, 2) =     0.69312E-01, x( 10, 3) =     0.16535E+00
before: itr =  11, myrank =   1, x( 11, 2) =     0.67899E-01, x( 11, 3) =     0.16465E+00
before: itr =  11, myrank =   1, x( 12, 2) =     0.42331E-01, x( 12, 3) =     0.10177E+00
before: itr =  11, myrank =   1, x( 13, 2) =     0.26386E-01, x( 13, 3) =     0.63095E-01
before: itr =  11, myrank =   1, x( 14, 2) =     0.42145E-01, x( 14, 3) =     0.10184E+00
before: itr =  11, myrank =   1, x( 15, 2) =     0.42331E-01, x( 15, 3) =     0.10177E+00
before: itr =  11, myrank =   1, x( 16, 2) =     0.26235E-01, x( 16, 3) =     0.62939E-01
after: itr =  11, myrank =   1, x(  1, 2) =     0.26755E-01, x(  1, 3) =     0.62372E-01
