after: itr =  16, myrank =   1, x( -1, 2) =     0.00000E+00, x( -1, 3) =     0.00000E+00
after: itr =  16, myrank =   1, x(  0, 2) =     0.00000E+00, x(  0, 3) =     0.00000E+00
after: itr =  16, myrank =   1, x(  1, 2) =     0.00000E+00, x(  1, 3) =     0.52727E-01
after: itr =  16, myrank =   1, x(  2, 2) =     0.00000E+00, x(  2, 3) =     0.85349E-01
after: itr =  16, myrank =   1, x(  3, 2) =     0.00000E+00, x(  3, 3) =     0.85381E-01
after: itr =  16, myrank =   1, x(  4, 2) =     0.00000E+00, x(  4, 3) =     0.52767E-01
after: itr =  16, myrank =   1, x(  5, 2) =     0.00000E+00, x(  5, 3) =     0.86856E-01
after: itr =  16, myrank =   1, x(  6, 2) =     0.00000E+00, x(  6, 3) =     0.14060E+00
after: itr =  16, myrank =   1, x(  7, 2) =     0.00000E+00, x(  7, 3) =     0.14064E+00
after: itr =  16, myrank =   1, x(  8, 2) =     0.00000E+00, x(  8, 3) =     0.86915E-01
after: itr =  16, myrank =   1, x(  9, 2) =     0.28715E-01, x(  9, 3) =     0.93986E-01
after: itr =  16, myrank =   1, x( 10, 2) =     0.46482E-01, x( 10, 3) =     0.15206E+00
after: itr =  16, myrank =   1, x( 11, 2) =     0.46496E-01, x( 11, 3) =     0.15205E+00
after: itr =  16, myrank =   1, x( 12, 2) =     0.28738E-01, x( 12, 3) =     0.93967E-01
after: itr =  16, myrank =   1, x( 13, 2) =     0.23505E-01, x( 13, 3) =     0.60279E-01
after: itr =  16, myrank =   1, x( 14, 2) =     0.38089E-01, x( 14, 3) =     0.97469E-01
after: itr =  16, myrank =   1, x( 15, 2) =     0.38106E-01, x( 15, 3) =     0.97456E-01
after: itr =  16, myrank =   1, x( 16, 2) =     0.23546E-01, x( 16, 3) =     0.60235E-01
after: itr =  16, myrank =   1, x( 17, 2) =     0.61479E-02, x( 17, 3) =     0.00000E+00
after: itr =  16, myrank =   1, x( 18, 2) =     0.99712E-02, x( 18, 3) =     0.00000E+00
after: itr =  16, myrank =   1, x( 19, 2) =     0.99692E-02, x( 19, 3) =     0.00000E+00
after: itr =  16, myrank =   1, x( 20, 2) =     0.61603E-02, x( 20, 3) =     0.00000E+00
before: itr =  21, myrank =   1, x( -3, 2) =     0.00000E+00, x( -3, 3) =     0.00000E+00
before: itr =  21, myrank =   1, x( -2, 2) =     0.00000E+00, x( -2, 3) =     0.00000E+00
before: itr =  21, myrank =   1, x( -1, 2) =     0.00000E+00, x( -1, 3) =     0.00000E+00
before: itr =  21, myrank =   1, x(  0, 2) =     0.00000E+00, x(  0, 3) =     0.00000E+00
before: itr =  21, myrank =   1, x(  1, 2) =     0.00000E+00, x(  1, 3) =     0.52775E-01
before: itr =  21, myrank =   1, x(  2, 2) =     0.00000E+00, x(  2, 3) =     0.85390E-01
before: itr =  21, myrank =   1, x(  3, 2) =     0.00000E+00, x(  3, 3) =     0.85390E-01
before: itr =  21, myrank =   1, x(  4, 2) =     0.00000E+00, x(  4, 3) =     0.52774E-01
before: itr =  21, myrank =   1, x(  5, 2) =     0.00000E+00, x(  5, 3) =     0.86927E-01
before: itr =  21, myrank =   1, x(  6, 2) =     0.00000E+00, x(  6, 3) =     0.14065E+00
before: itr =  21, myrank =   1, x(  7, 2) =     0.00000E+00, x(  7, 3) =     0.14065E+00
before: itr =  21, myrank =   1, x(  8, 2) =     0.00000E+00, x(  8, 3) =     0.86929E-01
before: itr =  21, myrank =   1, x(  9, 2) =     0.28738E-01, x(  9, 3) =     0.93969E-01
before: itr =  21, myrank =   1, x( 10, 2) =     0.46498E-01, x( 10, 3) =     0.15205E+00
