 epsilon =   9.99999993922529029E-009
 iteration:          500
 relative error =   5.49501557818211526E-004
 iteration:         1000
 relative error =   1.70323743169829037E-004
 iteration:         1500
 relative error =   6.12114540364069084E-005
 iteration:         2000
 relative error =   2.25384304266846509E-005
 iteration:         2500
 relative error =   8.35964535153492275E-006
 iteration:         3000
 relative error =   3.10882879600908660E-006
 iteration:         3500
 relative error =   1.15725940385589347E-006
 iteration:         4000
 relative error =   4.30946077248999775E-007
 iteration:         4500
 relative error =   1.60499662089030660E-007
 iteration:         5000
 relative error =   5.97788124169836941E-008
 iteration:         5500
 relative error =   2.22653038927788791E-008
 iteration:         5905
  17   6 0.02930753
  18   6 0.03026138
  19   6 0.03109579
  20   6 0.03180749
  21   6 0.03239366
  22   6 0.03285198
  23   6 0.03318066
  24   6 0.03337838
  25   6 0.03344438
  26   6 0.03337838
  27   6 0.03318066
  28   6 0.03285198
  29   6 0.03239366
  30   6 0.03180749
  31   6 0.03109579
  32   6 0.03026138
  33   6 0.02930753
  34   6 0.02823802
  35   6 0.02705707
  36   6 0.02576933
  37   6 0.02437990
  38   6 0.02289425
  39   6 0.02131825
  40   6 0.01965811
  41   6 0.01792039
  42   6 0.01611195
  43   6 0.01423992
  44   6 0.01231170
  45   6 0.01033488
  46   6 0.00831728
  47   6 0.00626685
  48   6 0.00419169
  49   6 0.00209999
   1   7 0.00247079
   2   7 0.00493183
   3   7 0.00737340
   4   7 0.00978588
   5   7 0.01215973
   6   7 0.01448560
   7   7 0.01675430
   8   7 0.01895687
   9   7 0.02108463
  10   7 0.02312918
  11   7 0.02508245
  12   7 0.02693674
  13   7 0.02868471
  14   7 0.03031948
  15   7 0.03183459
  16   7 0.03322407
  17   7 0.03448242
  18   7 0.03560469
  19   7 0.03658644
  20   7 0.03742381
  21   7 0.03811348
  22   7 0.03865273
  23   7 0.03903943
  24   7 0.03927207
  25   7 0.03934972
  26   7 0.03927207
  27   7 0.03903943
  28   7 0.03865273
  29   7 0.03811348
  30   7 0.03742381
  31   7 0.03658644
  32   7 0.03560469
  33   7 0.03448242
  34   7 0.03322407
  35   7 0.03183459
  36   7 0.03031948
  37   7 0.02868471
  38   7 0.02693674
  39   7 0.02508245
  40   7 0.02312918
  41   7 0.02108463
  42   7 0.01895687
  43   7 0.01675430
  44   7 0.01448560
  45   7 0.01215973
  46   7 0.00978588
  47   7 0.00737340
  48   7 0.00493183
  49   7 0.00247079
   1   8 0.00285134
   2   8 0.00569143
   3   8 0.00850905
   4   8 0.01129310
   5   8 0.01403257
   6   8 0.01671667
   7   8 0.01933479
   8   8 0.02187661
   9   8 0.02433209
  10   8 0.02669154
  11   8 0.02894566
  12   8 0.03108553
  13   8 0.03310273
  14   8 0.03498929
  15   8 0.03673776
  16   8 0.03834124
  17   8 0.03979341
  18   8 0.04108853
  19   8 0.04222149
  20   8 0.04318782
  21   8 0.04398372
  22   8 0.04460602
  23   8 0.04505229
  24   8 0.04532076
  25   8 0.04541037
  26   8 0.04532076
  27   8 0.04505229
  28   8 0.04460602
  29   8 0.04398372
  30   8 0.04318782
  31   8 0.04222149
  32   8 0.04108853
  33   8 0.03979341
  34   8 0.03834124
  35   8 0.03673776
  36   8 0.03498929
  37   8 0.03310273
  38   8 0.03108553
  39   8 0.02894566
  40   8 0.02669154
  41   8 0.02433209
  42   8 0.02187661
  43   8 0.01933479
  44   8 0.01671667
  45   8 0.01403257
  46   8 0.01129310
  47   8 0.00850905
  48   8 0.00569143
  49   8 0.00285134
   1   9 0.00324315
   2   9 0.00647349
   3   9 0.00967829
   4   9 0.01284489
   5   9 0.01596080
   6   9 0.01901372
   7   9 0.02199160
   8   9 0.02488269
   9   9 0.02767558
  10   9 0.03035925
  11   9 0.03292310
  12   9 0.03535702
  13   9 0.03765140
  14   9 0.03979719
  15   9 0.04178592
  16   9 0.04360974
  17   9 0.04526145
  18   9 0.04673453
  19   9 0.04802318
  20   9 0.04912230
  21   9 0.05002755
  22   9 0.05073537
  23   9 0.05124296
  24   9 0.05154832
  25   9 0.05165024
  26   9 0.05154832
  27   9 0.05124296
  28   9 0.05073537
  29   9 0.05002755
  30   9 0.04912230
  31   9 0.04802318
  32   9 0.04673453
  33   9 0.04526145
  34   9 0.04360974
  35   9 0.04178592
  36   9 0.03979719
  37   9 0.03765140
  38   9 0.03535702
  39   9 0.03292310
  40   9 0.03035925
  41   9 0.02767558
  42   9 0.02488269
  43   9 0.02199160
  44   9 0.01901372
  45   9 0.01596080
  46   9 0.01284489
  47   9 0.00967829
  48   9 0.00647349
  49   9 0.00324315
   1  10 0.00364775
   2  10 0.00728110
   3  10 0.01088572
   4  10 0.01444738
   5  10 0.01795202
   6  10 0.02138581
   7  10 0.02473521
   8  10 0.02798698
   9  10 0.03112830
  10  10 0.03414677
  11  10 0.03703048
  12  10 0.03976805
  13  10 0.04234868
  14  10 0.04476217
  15  10 0.04699900
  16  10 0.04905035
  17  10 0.05090813
  18  10 0.05256499
  19  10 0.05401440
  20  10 0.05525064
  21  10 0.05626883
  22  10 0.05706496
  23  10 0.05763587
  24  10 0.05797933
  25  10 0.05809396
  26  10 0.05797933
  27  10 0.05763587
  28  10 0.05706496
  29  10 0.05626883
  30  10 0.05525064
  31  10 0.05401440
  32  10 0.05256499
  33  10 0.05090813
  34  10 0.04905035
  35  10 0.04699900
  36  10 0.04476217
  37  10 0.04234868
