  1  0.521883  0.000088  0.000003  0.521971
  2  0.261992  0.001084  0.000015  0.263075
  4  0.132028  0.001597  0.000006  0.133625
  8  0.067044  0.002021  0.000006  0.069065
 16  0.034571  0.002030  0.000007  0.036601
